BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BusinessType,BankName,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,LoanStatus,Status,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported
Brian Bieniek and Cynthia Bien,6957 W. Archer Avenue,Chicago,IL,60638,INDIVIDUAL,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,171500,128625,12/2/16,2017,12/2/16,CA,Community Advantage Initiative,6.5,180,323111,Commercial Gravure Printing,EXEMPT,0,,0,0,14
Desai Business Group LLC,North Milwaukee Avenue,Deerfield,IL,60015,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,128000,108800,11/21/16,2017,1/1/17,CA,Community Advantage Initiative,7,120,453210,Office Supplies and Stationery,EXEMPT,0,,0,0,3
Children's Campus Center LLC,7248-50-52 W. Touhy Avenue,Chicago,IL,60631,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,220800,165600,11/16/16,2017,8/5/17,CA,Community Advantage Initiative,7.25,120,624410,Child Day Care Services,EXEMPT,0,,0,0,9
Lina's Filipino Marketplace LL,120 Ridge Avenue #16-17,Bloomingdale,IL,60108,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,97000,82450,9/19/16,2016,11/1/16,CA,Community Advantage Initiative,7.25,84,445299,All Other Specialty Food Stores,EXEMPT,0,,0,0,12
Food Love LLC,South State Street,Chicago,IL,60621,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,146800,124780,8/8/16,2016,9/1/16,CA,Community Advantage Initiative,7.25,120,722513,Limited-Service Restaurants,EXEMPT,0,,0,0,6
"Boss Hair Group, Inc",347 W. Chestnut Street,Chicago,IL,60610,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,100000,85000,7/22/16,2016,9/30/17,CA,Community Advantage Initiative,7.25,84,812112,Beauty Salons,EXEMPT,0,,0,0,9
Levato Salon & SkinLab,29 East First Street,Hinsdale,IL,60521,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,150000,127500,6/17/16,2016,8/1/16,CA,Community Advantage Initiative,7.25,84,812112,Beauty Salons,EXEMPT,0,,0,0,9
Fun Republic Inc,731 North 17Th Street Units 1,Saint Charles,IL,60174,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,211000,168250,5/26/16,2016,,CA,Community Advantage Initiative,6.5,84,713990,All Other Amusement and Recreation Industries,CANCLD,0,,0,0,16
"Sage Kitchen + Bar, LLC",627 E. Boughton Road,Bolingbrook,IL,60440,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,250000,187500,5/2/16,2016,8/1/16,CA,Community Advantage Initiative,7.25,79,722511,Full-Service Restaurants,CHGOFF,1,6/9/17,243126,0,12
"Rack House Tavern Woodfield, L",5 Wood Field Drive #109,SCHAUMBURG,IL,60173,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,95000,80750,3/2/16,2016,5/1/16,CA,Community Advantage Initiative,7.25,84,722511,Full-Service Restaurants,EXEMPT,0,,0,0,21
JD Inc.,6938 N. Medford Avenue,CHICAGO,IL,60646,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,60000,51000,2/11/16,2016,3/1/16,CA,Community Advantage Initiative,7,84,561710,Exterminating and Pest Control Services,EXEMPT,0,,0,0,6
"English Rows Eye Care, P.C.","3027 English Rows Eye Care, P",NAPERVILLE,IL,60564,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,204200,153150,1/12/16,2016,3/1/16,CA,Community Advantage Initiative,6.25,84,621320,Offices of Optometrists,EXEMPT,0,,0,0,9
"Tushiya,LLC",4442 North  Broadway,CHICAGO,IL,60640,CORPORATION,Local Initiatives Support Corporation,501 Seventh Avenue,New York,NY,10081,127100,108035,11/9/15,2016,7/1/16,CA,Community Advantage Initiative,7,87,311351,Chocolate and Confectionery Manufacturing from Cacao Beans,EXEMPT,0,,0,0,2
"North Aurora Smiles, P.C.",1133 Oak Street,NORTH AURORA,IL,60542,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,2260000,1695000,3/22/18,2018,3/30/18,PLP,Guaranty,5.2,312,621210,Offices of Dentists,COMMIT,0,,0,0,13
Roselle Animal Hopsital,25 W571 LAKE ST,ROSELLE,IL,60172,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,200000,150000,2/2/18,2018,2/21/18,PLP,Guaranty,5.75,180,541940,Veterinary Services,EXEMPT,0,,0,0,15
Dax D. Campbell,993 CLOCKTOWER DRIVE SUITE B,SPRINGFIELD,IL,62704,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1400000,1050000,1/31/18,2018,2/28/18,PLP,Guaranty,6.5,120,523930,Investment Advice,EXEMPT,0,,0,0,2
Battle House LLC,28039 W NORTHPOINTE PKWY,LAKE BARRINGTON,IL,60010,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,600000,450000,12/27/17,2018,,PLP,Guaranty,6,126,713990,All Other Amusement and Recreation Industries,CANCLD,0,,0,0,15
Millennium Education LLC,2500 W BRADLEY PL Suite I,CHICAGO,IL,60618,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,2750000,2062500,12/22/17,2018,,PLP,Guaranty,5.5,180,624410,Child Day Care Services,COMMIT,0,,0,0,38
"Temperance Beer Company, LLC",2000 WEST DEMPSTER ST,EVANSTON,IL,60202,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,725000,543750,12/20/17,2018,1/31/18,PLP,Guaranty,6.5,186,312120,Breweries,EXEMPT,0,,0,0,2
West Suburban Oral Health Care,380 WEST DIEHL ROAD,NAPERVILLE,IL,60563,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1680000,1260000,12/11/17,2018,12/18/17,PLP,Guaranty,5.95,306,621210,Offices of Dentists,EXEMPT,0,,0,0,4
"Lakeshore Capital Group, Inc.",1811 HICKS RD SUITE A,ROLLING MEADOWS,IL,60008,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1045000,783750,12/7/17,2018,1/31/18,PLP,Guaranty,6.5,120,541213,Tax Preparation Services,EXEMPT,0,,0,0,3
Lake County Dental Care,1298 S MILWAUKEE AVE,LIBERTYVILLE,IL,60048,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,3075000,2306250,12/6/17,2018,,PLP,Guaranty,7.5,306,621210,Offices of Dentists,COMMIT,0,,0,0,3
MI-BOX of Central Illinois,1017 BAHLS ST,DANVILLE,IL,61832,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,725000,543750,11/13/17,2018,11/30/17,PLP,Guaranty,6.25,240,332510,Hardware Manufacturing,EXEMPT,0,,0,0,32
Taylor Group,4849 MILWAUKEE AVE SUITE 506,CHICAGO,IL,60630,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,750000,562500,10/17/17,2018,10/31/17,PLP,Guaranty,7,120,524210,Insurance Agencies and Brokerages,EXEMPT,0,,0,0,4
Kreid Asset Management Inc.,204 NORTH MAIN STREET,MORTON,IL,61550,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1050000,787500,10/16/17,2018,11/30/17,PLP,Guaranty,6.25,120,523930,Investment Advice,EXEMPT,0,,0,0,4
5995 Naperville Self Storage L,LOt #2 Cantore Subdivision,NAPERVILLE,IL,60564,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,5000000,3750000,10/2/17,2018,10/31/17,PLP,Guaranty,6,312,531130,Lessors of Miniwarehouses and Self-Storage Units,EXEMPT,0,,0,0,2
"Della Monica & Associates, A P",3013 NORTH ASHLAND AVENUE SUI,CHICAGO,IL,60657,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,865000,648750,9/27/17,2017,10/31/17,PLP,Guaranty,6.25,120,523930,Investment Advice,EXEMPT,0,,0,0,1
Common Culture Brewing Co.,825 CHICAGO AVE #E2,EVANSTON,IL,60202,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,100000,50000,9/22/17,2017,10/31/17,SBA EXPRES,FA$TRK (Small Loan Express),8.74,120,312120,Breweries,EXEMPT,0,,0,0,4
U-Store-It,1420 EAST CARROLL STREET,MACOMB,IL,61455,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,3575000,2127482,9/8/17,2017,9/30/17,PLP,Guaranty,6.25,300,531130,Lessors of Miniwarehouses and Self-Storage Units,EXEMPT,0,,0,0,1
"REINHART ACQUISITION GROUP, IN",1516 Legacy Circle Suite 112,NAPERVILLE,IL,60563,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,250000,125000,8/28/17,2017,9/30/17,SBA EXPRES,FA$TRK (Small Loan Express),8.25,120,523930,Investment Advice,EXEMPT,0,,0,0,2
"Delre & Associates, Inc.",9721 West 165TH ST Suite 22,ORLAND PARK,IL,60467,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,265000,198750,7/27/17,2017,8/31/17,PLP,Guaranty,7,120,523930,Investment Advice,EXEMPT,0,,0,0,1
J. Hermann Ltd.,321 W. Main St.,Freeport,IL,61032,PARTNERSHIP,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1400000,1050000,7/17/17,2017,8/31/17,OTH 7A,Guaranty,6.5,180,812210,Funeral Homes and Funeral Services,EXEMPT,0,,0,0,5
Riverstone Financial Advisors,3296 Executive Drive Suite 20,JOLIET,IL,60431,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,425000,318750,6/12/17,2017,6/30/17,PLP,Guaranty,6,120,523120,Securities Brokerage,EXEMPT,0,,0,0,8
"Hardin County Pharmacy, LLC",7 & 9 Ferrell Road PO Box 37,ROSICLARE,IL,62982,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1410000,1057500,6/5/17,2017,6/30/17,PLP,Guaranty,6.25,156,446110,Pharmacies and Drug Stores,EXEMPT,0,,0,0,13
Cosmetic Surgery Center of Chi,815 Howard St.,EVANSTON,IL,60202,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,900000,675000,5/23/17,2017,6/30/17,PLP,Guaranty,7.29,300,621111,Offices of Physicians (except Mental Health Specialists),EXEMPT,0,,0,0,10
David M. Boccignone,6870 Rote Road Suite 102,ROCKFORD,IL,61107,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,120000,60000,5/22/17,2017,5/31/17,SBA EXPRES,FA$TRK (Small Loan Express),7.25,120,523930,Investment Advice,EXEMPT,0,,0,0,1
"Assalley Funeral Homes, LLC",202 W. Franklin St.,TAYLORVILLE,IL,62568,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,850000,637500,5/17/17,2017,5/31/17,PLP,Guaranty,5.75,300,812210,Funeral Homes and Funeral Services,EXEMPT,0,,0,0,1
KKB LLC,680 W Broughton Road,BOLINGBROOK,IL,60440,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1580000,1185000,5/12/17,2017,5/31/17,PLP,Guaranty,7.35,300,621210,Offices of Dentists,EXEMPT,0,,0,0,15
"St John, Kang & Associates, A",2 Northfield Plaza Suite 325,NORTHBROOK,IL,60062,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,150000,127500,4/19/17,2017,4/27/17,PLP,Guaranty,6.75,120,523930,Investment Advice,EXEMPT,0,,0,0,0
Battle House LLC,28039 W. Northpointe Pkwy #4,Lake Barrington,IL,60010,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1055000,791250,3/24/17,2017,5/12/17,OTH 7A,Guaranty,5.75,300,713990,All Other Amusement and Recreation Industries,EXEMPT,0,,0,0,15
"Taiber, Kosmala & Associates,",141 W. Jackson Blvd. Suite 35,CHICAGO,IL,60604,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,315000,157500,3/20/17,2017,3/20/17,SBA EXPRES,FA$TRK (Small Loan Express),7.75,120,523930,Investment Advice,EXEMPT,0,,0,0,2
"Gateway Storage Mall Columbia,",300 Rueck Road,COLUMBIA,IL,62236,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1470000,1102500,3/9/17,2017,4/30/17,PLP,Guaranty,5.75,300,531130,Lessors of Miniwarehouses and Self-Storage Units,EXEMPT,0,,0,0,1
"Brown Wealth Management, LLC",1700 Park Street Suite 110,NAPERVILLE,IL,60563,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,125000,62500,3/6/17,2017,3/6/17,SBA EXPRES,FA$TRK (Small Loan Express),8.24,120,523930,Investment Advice,PIF,0,,0,0,0
Northside Rexall Pharmacy,201 North State Street,GENESEO,IL,61254,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1000000,750000,2/28/17,2017,3/1/17,PLP,Guaranty,5.75,120,446110,Pharmacies and Drug Stores,EXEMPT,0,,0,0,7
"Equity Insurance Agency, Incor",33 W. Roosevelt Road,LOMBARD,IL,60148,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,155000,77500,2/15/17,2017,2/15/17,SBA EXPRES,FA$TRK (Small Loan Express),8.24,120,524210,Insurance Agencies and Brokerages,EXEMPT,0,,0,0,2
"ACT Together, Inc.",1070 West Fremont Street,GALESBURG,IL,61401,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,3660000,2745000,2/14/17,2017,3/1/17,PLP,Guaranty,5.25,300,812210,Funeral Homes and Funeral Services,EXEMPT,0,,0,0,0
"Creekmur, Inc.",805 W. Jackson Street Suite #,MORTON,IL,61550,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,95000,47500,2/14/17,2017,3/1/17,SBA EXPRES,FA$TRK (Small Loan Express),7.5,120,523930,Investment Advice,EXEMPT,0,,0,0,0
Strategic Retirement Partners,25434 Prairiewood Lane,SHOREWOOD,IL,60404,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,200000,100000,2/9/17,2017,2/9/17,SBA EXPRES,FA$TRK (Small Loan Express),8.24,120,523930,Investment Advice,EXEMPT,0,,0,0,0
"Premier Family Dental, LTD.",190 Marquette PL South,MANTENO,IL,60950,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1525000,1143750,2/8/17,2017,2/17/17,PLP,Guaranty,4.9,306,621210,Offices of Dentists,EXEMPT,0,,0,0,10
"Variety Storage, LLC",30 Kettle River Drive,GLEN CARBON,IL,62034,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,4200000,3150000,2/7/17,2017,5/31/17,PLP,Guaranty,5.75,312,531130,Lessors of Miniwarehouses and Self-Storage Units,EXEMPT,0,,0,0,2
Big Tee's Self-Storage,2735 West Delmar Avenue,GODFREY,IL,62035,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,660000,495000,2/2/17,2017,4/30/17,PLP,Guaranty,5.75,309,531130,Lessors of Miniwarehouses and Self-Storage Units,EXEMPT,0,,0,0,4
Off Color Brewing LLC,1460 North Kingsbury Street,CHICAGO,IL,60642,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1327000,995250,2/1/17,2017,2/1/17,PLP,Guaranty,6.25,188,312120,Breweries,EXEMPT,0,,0,0,8
Klaas Financial Asset Advisors,4707 Perry Ridge Lane,LOVES PARK,IL,61111,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,5000000,3750000,1/12/17,2017,2/1/17,PLP,Guaranty,5.75,120,523930,Investment Advice,EXEMPT,0,,0,0,24
Justen Funeral Home & Cremator,3700 W. Charles J. Miller Roa,MCHENRY,IL,60050,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,4100000,3075000,12/9/16,2017,12/9/16,PLP,Guaranty,5.25,300,812210,Funeral Homes and Funeral Services,EXEMPT,0,,0,0,8
Channahon Lanes,25306 W. Eames Street,CHANNAHON,IL,60410,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1225000,918750,12/1/16,2017,2/8/17,PLP,Guaranty,5.5,299,713950,Bowling Centers,EXEMPT,0,,0,0,14
"Lazer X of Addison, Inc.","1455 Lake Street, Unit B",ADDISON,IL,60101,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,260000,130000,11/28/16,2017,12/1/16,SBA EXPRES,FA$TRK (Small Loan Express),7.99,84,713990,All Other Amusement and Recreation Industries,EXEMPT,0,,0,0,0
Stephen M. Wendt,1000 Burr Ridge Parkway Suite,WILLOWBROOK,IL,60527,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,145000,72500,10/24/16,2017,10/24/16,SBA EXPRES,FA$TRK (Small Loan Express),7.99,120,523910,Miscellaneous Intermediation,EXEMPT,0,,0,0,0
Riverwalk Family Dental,209 West Jefferson Avenue,NAPERVILLE,IL,60540,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,2115000,1586250,10/6/16,2017,11/21/16,PLP,Guaranty,5.5,312,621210,Offices of Dentists,EXEMPT,0,,0,0,1
SportsVet Animal Medical Cente,1105 North Dunlap Avenue Lot,SAVOY,IL,61874,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,3943000,2957250,9/29/16,2016,10/1/16,PLP,Guaranty,4.5,312,541940,Veterinary Services,EXEMPT,0,,0,0,22
Claude O. Sherman,14 Heritage Drive Suite 103,BOURBONNAIS,IL,60914,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,350000,262500,9/12/16,2016,9/12/16,SLA,Lender Advantage Initiative,6.25,120,523910,Miscellaneous Intermediation,EXEMPT,0,,0,0,1
"OakCrest Capital, LLC",820 West Jackson Boulevard Su,CHICAGO,IL,60607,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,720000,540000,9/2/16,2016,9/2/16,PLP,Guaranty,5.75,120,523930,Investment Advice,EXEMPT,0,,0,0,2
"Dale D. Shahan, DDS, LTD.",636 Hampshire Suite 102,QUINCY,IL,62301,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,100000,85000,9/2/16,2016,,SLA,Lender Advantage Initiative,6.25,84,621210,Offices of Dentists,CANCLD,0,,0,0,1
David M. Boccignone,6870 Rote Road Suite 102,ROCKFORD,IL,61107,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,190000,142500,8/24/16,2016,8/24/16,SLA,Lender Advantage Initiative,6.25,120,523930,Investment Advice,EXEMPT,0,,0,0,2
KMG Private Wealth Management,4711 Golf Road Suite 705,SKOKIE,IL,60076,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,460000,345000,8/24/16,2016,9/1/16,PLP,Guaranty,7,120,523930,Investment Advice,EXEMPT,0,,0,0,8
"Dentologie, P.C.",1259 South Wabash Avenue,CHICAGO,IL,60605,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1650000,1237500,8/22/16,2016,9/22/16,PLP,Guaranty,5,125,621210,Offices of Dentists,EXEMPT,0,,0,0,45
"OnPath Financial, LLC",100 Illinois Street Suite 201,SAINT CHARLES,IL,60174,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,150000,127500,8/4/16,2016,8/4/16,SLA,Lender Advantage Initiative,6,120,523910,Miscellaneous Intermediation,PIF,0,,0,0,0
Westgate Dental Care,2900 West Euclid Avenue,ARLINGTON HEIGHTS,IL,60005,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,4165000,3123750,7/29/16,2016,8/5/16,PLP,Guaranty,4.5,312,621210,Offices of Dentists,EXEMPT,0,,0,0,40
Alison L. Brandt,427 E State St.,GENEVA,IL,60134,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,75000,63750,7/5/16,2016,7/5/16,SLA,Lender Advantage Initiative,6.25,120,523930,Investment Advice,EXEMPT,0,,0,0,1
Thomas Skoumal DDS PC,2800 Keslinger Road #102,GENEVA,IL,60134,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,650000,487500,6/27/16,2016,7/1/16,PLP,Guaranty,5.5,120,621210,Offices of Dentists,EXEMPT,0,,0,0,8
Retirement Advisors,1700 Park Street Suite 110,NAPERVILLE,IL,60563,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,930000,697500,6/17/16,2016,7/1/16,PLP,Guaranty,5.75,120,523930,Investment Advice,EXEMPT,0,,0,0,0
"Edgartown, Inc.",2815 Forbs Avenue Suite 107,Hoffman Estates,IL,60192,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,290000,217500,6/6/16,2016,6/6/16,SLA,Lender Advantage Initiative,6.25,120,523120,Securities Brokerage,EXEMPT,0,,0,0,1
Worsham College of Mortuary Sc,495 Northgate Parkway,WHEELING,IL,60090,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,5000000,3750000,5/27/16,2016,6/1/16,PLP,Guaranty,6.75,168,611310,"Colleges, Universities, and Professional Schools",EXEMPT,0,,0,0,2
Megent Financial,15321 South 9th Avenue Suite,ORLAND PARK,IL,60462,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,350000,262500,5/23/16,2016,6/1/16,SLA,Lender Advantage Initiative,6.25,120,523930,Investment Advice,EXEMPT,0,,0,0,13
Poldek Family Dental,642 South Sutton Road,STREAMWOOD,IL,60107,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,100000,50000,5/23/16,2016,5/23/16,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,621210,Offices of Dentists,PIF,0,,0,1,0
Morse L Drugs,1407 W Morse Avenue,CHICAGO,IL,60626,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1150000,862500,5/16/16,2016,6/1/16,PLP,Guaranty,5.75,120,446110,Pharmacies and Drug Stores,PIF,0,,0,0,10
IHT Wealth Management LLC,300 South Wacker Drive Suite,CHICAGO,IL,60606,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,580000,435000,5/16/16,2016,5/16/16,PLP,Guaranty,5.5,120,523930,Investment Advice,EXEMPT,0,,0,0,17
IHT Wealth Management LLC,300 South Wacker Drive Suite,CHICAGO,IL,60606,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1055000,791250,4/29/16,2016,5/1/16,PLP,Guaranty,5.5,120,523930,Investment Advice,EXEMPT,0,,0,0,17
Pioneer Wealth Planning Group,2400 Ravine Way Unit 100,GLENVIEW,IL,60025,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,470000,352500,4/14/16,2016,4/14/16,PLP,Guaranty,6,120,523930,Investment Advice,EXEMPT,0,,0,0,3
Delavan Easy Care Pharmacy,931 W Galen Blvd,AURORA,IL,60506,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1300000,975000,4/1/16,2016,4/1/16,PLP,Guaranty,5.5,156,446110,Pharmacies and Drug Stores,EXEMPT,0,,0,0,2
"Burk, LLC",1101 West Lake Street 1st Flo,CHICAGO,IL,60607,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,455000,341250,3/16/16,2016,4/1/16,PLP,Guaranty,5.75,120,523930,Investment Advice,EXEMPT,0,,0,0,0
Big Timber Wealth Management I,2250 Point Boulevard Suite 32,ELGIN,IL,60123,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,420000,315000,3/2/16,2016,7/1/16,PLP,Guaranty,5.75,120,523930,Investment Advice,EXEMPT,0,,0,0,1
David M. Boccignone,6870 Rote Road Suite 102,ROCKFORD,IL,61107,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,104000,88400,1/1/16,2016,1/1/16,SLA,Lender Advantage Initiative,6.25,120,523930,Investment Advice,EXEMPT,0,,0,0,4
Pekin Prescription Lab,1016 Court Street,PEKIN,IL,61554,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,1500000,1125000,12/9/15,2016,12/9/15,PLP,Guaranty,5,120,446110,Pharmacies and Drug Stores,EXEMPT,0,,0,0,25
All Star / Puro Mini Storage,7030 W Plank Road,PEORIA,IL,61604,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,2010000,1507500,11/19/15,2016,12/1/15,PLP,Guaranty,5.25,300,531130,Lessors of Miniwarehouses and Self-Storage Units,EXEMPT,0,,0,0,1
AllStar/Puro Mini Storage,7030 W Plank Road,PEORIA,IL,61604,INDIVIDUAL,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,230000,172500,11/19/15,2016,5/1/16,PLP,Guaranty,5.25,300,531130,Lessors of Miniwarehouses and Self-Storage Units,EXEMPT,0,,0,0,1
IHT Wealth Management LLC,123 North Wacker Drive Suite,CHICAGO,IL,60606,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,145000,123250,11/9/15,2016,11/9/15,SLA,Lender Advantage Initiative,5.5,120,523930,Investment Advice,EXEMPT,0,,0,0,18
Sketchbook Brewing Co.,825 Chicago Avenue #E2,EVANSTON,IL,60202,CORPORATION,Live Oak Banking Company,1741 Tiburon Dr,WILMINGTON,NC,28403,440000,330000,11/6/15,2016,12/1/15,PLP,Guaranty,5.5,186,312120,Breweries,EXEMPT,0,,0,0,8
